epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13219.2,1.24595,0.55622,0.90591,0.97671,0.97758,0.98773,0.7183,1.19036,0.53526,0.88909,0.000848969,0.000848969,0.000848969
43,13531.6,1.35098,0.5771,0.9267,0.97105,0.97734,0.98727,0.6767,1.39162,0.57923,0.92809,0.000834822,0.000834822,0.000834822
44,13844.9,1.17022,0.54064,0.88661,0.9798,0.97524,0.9895,0.77174,1.03345,0.51504,0.8691,0.000820675,0.000820675,0.000820675
45,14164.2,1.13134,0.55833,0.90229,0.98311,0.9734,0.98893,0.77551,1.01696,0.51192,0.8629,0.000806528,0.000806528,0.000806528
46,14479.5,1.24903,0.58928,0.91124,0.98271,0.96844,0.98785,0.74401,1.14198,0.53772,0.88546,0.00079238,0.00079238,0.00079238
47,14791.9,1.16182,0.55326,0.89643,0.9802,0.97631,0.98914,0.79115,0.95712,0.48769,0.85716,0.000778233,0.000778233,0.000778233
48,15106.5,1.10693,0.53835,0.87727,0.98223,0.97379,0.98915,0.76721,1.00393,0.51689,0.86124,0.000764086,0.000764086,0.000764086
49,15428.8,1.18359,0.5427,0.91636,0.97744,0.98437,0.98943,0.7309,1.13037,0.52582,0.87823,0.000749939,0.000749939,0.000749939
50,15745.4,1.05098,0.5175,0.893,0.98046,0.98797,0.99156,0.80524,0.90923,0.47458,0.84512,0.000735792,0.000735792,0.000735792
51,16063.8,1.09573,0.5179,0.89469,0.98193,0.98656,0.99024,0.77874,1.02963,0.48671,0.87029,0.000721645,0.000721645,0.000721645
52,16379.7,1.18065,0.52601,0.89723,0.98311,0.9863,0.99179,0.76583,1.07745,0.48556,0.87829,0.000707498,0.000707498,0.000707498
53,16697.9,1.04461,0.50383,0.87881,0.97858,0.97787,0.98996,0.77943,0.98396,0.47966,0.85975,0.000693351,0.000693351,0.000693351
54,17013.3,1.01376,0.49559,0.8708,0.98321,0.97098,0.98988,0.77565,1.06724,0.4979,0.87159,0.000679204,0.000679204,0.000679204
55,17323.6,1.04617,0.49775,0.87569,0.98229,0.98091,0.99127,0.78502,0.99152,0.46791,0.85587,0.000665057,0.000665057,0.000665057
56,17628.5,0.9901,0.47918,0.86185,0.98671,0.98062,0.99213,0.81813,0.83137,0.43707,0.8327,0.000650909,0.000650909,0.000650909
57,17942.7,0.9826,0.47842,0.87237,0.98654,0.9784,0.9906,0.82825,0.81036,0.42794,0.83063,0.000636762,0.000636762,0.000636762
58,18257.1,0.95567,0.47076,0.86715,0.98724,0.978,0.98603,0.82866,0.8225,0.42485,0.8328,0.000622615,0.000622615,0.000622615
59,18565.2,0.90897,0.45811,0.86391,0.9882,0.98135,0.99127,0.82413,0.75432,0.40538,0.82603,0.000608468,0.000608468,0.000608468
60,18875.2,0.8851,0.44853,0.86152,0.98475,0.98261,0.99217,0.81248,0.81222,0.42029,0.82987,0.000594321,0.000594321,0.000594321
61,19188.6,0.82782,0.43091,0.85309,0.98807,0.97992,0.99239,0.84052,0.79571,0.41542,0.82827,0.000580174,0.000580174,0.000580174
62,19504.4,0.8439,0.43217,0.84488,0.98208,0.9859,0.99224,0.84338,0.76099,0.40454,0.82211,0.000566027,0.000566027,0.000566027
63,19819.5,0.86001,0.43243,0.85379,0.98206,0.98894,0.99269,0.85152,0.7232,0.39772,0.81633,0.00055188,0.00055188,0.00055188
64,20137.4,0.8566,0.43068,0.84444,0.98647,0.98729,0.99288,0.85067,0.71279,0.39883,0.81716,0.000537733,0.000537733,0.000537733
65,20454.3,0.80363,0.42508,0.83657,0.99063,0.98485,0.99293,0.8269,0.75799,0.40756,0.8212,0.000523586,0.000523586,0.000523586
66,20765.1,0.83092,0.43076,0.84535,0.9895,0.98709,0.99315,0.8243,0.76496,0.40106,0.82081,0.000509438,0.000509438,0.000509438
67,21079.5,0.79438,0.41885,0.8454,0.98911,0.98564,0.99287,0.83262,0.7183,0.38693,0.81594,0.000495291,0.000495291,0.000495291
68,21403.8,0.83421,0.42267,0.8391,0.98682,0.98605,0.99296,0.84963,0.71446,0.38366,0.8132,0.000481144,0.000481144,0.000481144
69,21717.2,0.79638,0.41348,0.84565,0.98972,0.9863,0.99323,0.85451,0.71372,0.38093,0.81303,0.000466997,0.000466997,0.000466997
70,22043.6,0.76878,0.40869,0.84432,0.98884,0.98792,0.99338,0.87351,0.64593,0.37036,0.8054,0.00045285,0.00045285,0.00045285
71,22356.6,0.74523,0.39998,0.83113,0.98859,0.98837,0.99353,0.85216,0.72497,0.37978,0.81371,0.000438703,0.000438703,0.000438703
72,22676.7,0.76311,0.3964,0.84005,0.98917,0.98894,0.99339,0.85692,0.70489,0.37181,0.81058,0.000424556,0.000424556,0.000424556
73,22989.8,0.73768,0.39309,0.82783,0.99113,0.98857,0.99396,0.87952,0.64662,0.35868,0.8056,0.000410409,0.000410409,0.000410409
74,23306,0.72886,0.38824,0.82722,0.99207,0.98847,0.99413,0.89014,0.62458,0.3499,0.8028,0.000396262,0.000396262,0.000396262
75,23624.7,0.70891,0.38143,0.82762,0.99177,0.98904,0.99418,0.89292,0.59116,0.34532,0.79858,0.000382115,0.000382115,0.000382115
76,23944.3,0.69938,0.37863,0.83148,0.99241,0.9888,0.99415,0.87907,0.64621,0.3541,0.80333,0.000367967,0.000367967,0.000367967
77,24251.7,0.67828,0.3695,0.82277,0.99156,0.98933,0.99431,0.88818,0.61703,0.3477,0.80132,0.00035382,0.00035382,0.00035382
78,24563.8,0.70038,0.38003,0.82565,0.9918,0.98933,0.99431,0.89426,0.57409,0.33539,0.79538,0.000339673,0.000339673,0.000339673
79,24879.3,0.69349,0.36901,0.82354,0.99167,0.98973,0.99429,0.89397,0.57404,0.33268,0.79502,0.000325526,0.000325526,0.000325526
80,25186.9,0.665,0.36729,0.82323,0.99059,0.99016,0.99417,0.89416,0.56494,0.33176,0.79542,0.000311379,0.000311379,0.000311379
81,25501.8,0.64298,0.35834,0.81928,0.99236,0.9896,0.99424,0.9008,0.5665,0.3287,0.79517,0.000297232,0.000297232,0.000297232
82,25816.8,0.65521,0.36074,0.82583,0.99306,0.98976,0.99435,0.908,0.53356,0.31918,0.79225,0.000283085,0.000283085,0.000283085
