epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,914.831,1.4028,0.75165,0.94059,0.96351,0.94857,0.96841,0.6454,1.40836,0.74786,0.9367,0.000834822,0.000834822,0.000834822
44,935.379,1.4024,0.74311,0.9191,0.96406,0.95055,0.97029,0.63342,1.35825,0.72954,0.93144,0.000820675,0.000820675,0.000820675
45,956.374,1.42681,0.77012,0.95222,0.96936,0.95353,0.97024,0.6271,1.36256,0.73441,0.9305,0.000806528,0.000806528,0.000806528
46,978.708,1.41231,0.73814,0.94529,0.96777,0.96039,0.97119,0.64784,1.29207,0.72283,0.92433,0.00079238,0.00079238,0.00079238
47,1001.11,1.38335,0.73184,0.94075,0.9627,0.96187,0.97093,0.66927,1.27819,0.72345,0.92275,0.000778233,0.000778233,0.000778233
48,1021.69,1.40369,0.74818,0.92027,0.95531,0.96028,0.97064,0.60659,1.51746,0.77754,0.94875,0.000764086,0.000764086,0.000764086
49,1041.97,1.45594,0.76489,0.95652,0.95649,0.95587,0.96951,0.58751,1.57696,0.7709,0.95873,0.000749939,0.000749939,0.000749939
50,1061.82,1.40112,0.74017,0.9571,0.9623,0.95315,0.97025,0.6401,1.28995,0.70057,0.92121,0.000735792,0.000735792,0.000735792
51,1081.76,1.40504,0.73481,0.95038,0.9709,0.95381,0.96969,0.67052,1.26655,0.6834,0.9193,0.000721645,0.000721645,0.000721645
52,1102.31,1.47685,0.74438,0.94542,0.96852,0.95035,0.96866,0.64989,1.31311,0.68406,0.92481,0.000707498,0.000707498,0.000707498
53,1122.39,1.39604,0.73113,0.93756,0.96529,0.94892,0.97104,0.64903,1.26403,0.67336,0.91578,0.000693351,0.000693351,0.000693351
54,1142.73,1.36066,0.71415,0.92419,0.9467,0.95331,0.9693,0.61803,1.59345,0.73364,0.96208,0.000679204,0.000679204,0.000679204
55,1162.92,1.45193,0.74717,0.93447,0.9453,0.95407,0.96762,0.60632,1.69101,0.74926,0.98193,0.000665057,0.000665057,0.000665057
