sperm_id,segment,image,area,perimeter,circularity,aspect_ratio,solidity,classification
sperm_13,segment_0,frame_1.jpg,164.5,94.58331000804901,0.23107169469475686,0.7916666666666666,0.6278625930234252,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_10.jpg,116.5,59.815605878829956,0.4091728198060757,1.1333333333333333,0.7304075189316143,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_11.jpg,116.5,58.89533340930939,0.42205983020326093,1.0666666666666667,0.7373417674851787,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_12.jpg,121.0,60.61748003959656,0.41380856740578137,1.1333333333333333,0.7355623055588918,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_13.jpg,159.5,94.0863139629364,0.226421489217718,0.75,0.61228406674747,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_14.jpg,152.0,90.3401837348938,0.23404076710839056,0.7391304347826086,0.6268041211265809,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_15.jpg,152.5,93.49609446525574,0.21922635749467537,0.7391304347826086,0.6124497967371494,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_16.jpg,153.0,93.32596445083618,0.22074776814079924,0.6956521739130435,0.6144578288575991,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_17.jpg,152.5,92.06414318084717,0.22609901813977887,0.6956521739130435,0.6186612550967089,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_18.jpg,160.5,94.06280636787415,0.22795495517147182,0.75,0.6114285690993198,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_19.jpg,160.5,92.6883864402771,0.23476549004554337,0.7083333333333334,0.6257309917125498,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_2.jpg,162.0,94.50289344787598,0.22794741263592783,0.8260869565217391,0.6136363613119835,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_20.jpg,156.0,93.3113853931427,0.22514649346186114,0.7083333333333334,0.6227544885319182,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_21.jpg,155.0,92.90374445915222,0.2256706735971573,0.7083333333333334,0.6187624725797906,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_22.jpg,159.0,96.32595038414001,0.21533785519921705,0.7083333333333334,0.5932835798758076,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_23.jpg,160.5,96.27150893211365,0.21761525825047953,0.75,0.5955473076232011,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_24.jpg,157.0,93.21270751953125,0.22706974405795458,0.7391304347826086,0.6181102337869676,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_25.jpg,163.5,94.94562125205994,0.22791753535688186,0.6666666666666666,0.6228571404843538,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_26.jpg,162.0,91.91702008247375,0.24095337070807765,0.6956521739130435,0.6454183241218393,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_27.jpg,158.0,91.45714163780212,0.23737321006400125,0.7391304347826086,0.6396761107705421,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_28.jpg,161.5,90.7875497341156,0.24622367013174076,0.7727272727272727,0.6525252498887869,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_29.jpg,158.0,90.96934294700623,0.23992573566527545,0.6956521739130435,0.6475409809527009,Irregular / Fragmented sperm shape
