sperm_id,total_frames,normal_frames,abnormal_frames,M_score,Morph_score,Size_variance,DFI
sperm_0,150,0,150,1.4534725224387026,0.7084702692545105,54.85645555555556,Fragmented
sperm_1,150,0,150,2.018662309361477,0.8655391862249547,16422.736622222223,Fragmented
sperm_10,150,0,150,1.4961469715357882,0.8719524224892184,437.8447222222222,Fragmented
sperm_100,97,0,97,-5.394004788071905,0.9032974029307387,11754.60856626634,Fragmented
sperm_101,54,0,54,-204.69739249483808,0.9034218141482633,6986.334019204391,Fragmented
sperm_102,58,0,58,-328.3684240201427,0.7119454819890283,7411.050014863258,Fragmented
sperm_103,62,4,58,-283.2091591960438,0.8192622293257025,9132.31926378772,Fragmented
sperm_104,35,2,33,-75.56875770352758,0.8163051597888921,12086.701224489796,Fragmented
sperm_105,69,7,62,-83.17399650485956,0.8279623255341201,7770.421340054611,Fragmented
sperm_106,64,3,61,-301.3531192173715,0.8108058832177298,15897.040954589844,Fragmented
sperm_107,43,0,43,0.7671634968362069,0.9086306416413376,830.7187669010275,Fragmented
sperm_108,43,0,43,1.3705694170782774,0.7450724487370285,892.424824229313,Fragmented
sperm_109,43,0,43,0.15385238794139156,0.8302196506782114,2699.3439697133585,Fragmented
sperm_11,150,0,150,-2.126443103965549,0.7674725068189163,233.41916666666665,Fragmented
sperm_110,36,1,35,-239.16480209637126,0.6693399755032984,9178.404899691359,Fragmented
sperm_111,43,0,43,1.6643712824016088,0.9032046959728408,2881.521362898864,Fragmented
sperm_112,43,13,30,25.536857778975186,0.9182125662008552,5728.463764196864,Fragmented
sperm_113,43,0,43,13.157695258151524,0.7697478729084185,8011.3839913466745,Fragmented
sperm_114,20,0,20,-114.6895808348014,0.8377811035896578,13145.022500000001,Fragmented
sperm_12,150,1,149,-3.5917538731206786,0.7141655496141203,4367.207122222222,Fragmented
sperm_13,150,0,150,1.3239145271459476,0.7321966035519406,980.9636555555556,Fragmented
sperm_14,150,0,150,1.0580730771453553,1.0149864185534911,106.31195555555557,Fragmented
sperm_15,150,0,150,1.808851833962044,1.1024222803775656,481.1404888888889,Fragmented
sperm_16,150,0,150,1.4175356087061841,1.0669979017535627,184.68138888888885,Fragmented
sperm_17,132,0,132,-211.5095030851264,0.8150846545321574,663.1079401974288,Fragmented
sperm_18,150,16,134,1.040687501119966,0.8344741284366758,36.35138888888889,Fragmented
sperm_19,150,0,150,1.858760972722977,0.7353481832652328,3446.9754333333335,Fragmented
sperm_2,150,0,150,0.9105456396918079,0.7323527209916879,378.00382222222225,Fragmented
sperm_20,75,0,75,-405.6561779729956,0.8434416028054691,16998.603733333333,Fragmented
sperm_21,150,0,150,1.1439377517096094,0.6880987996584862,810.0363222222222,Fragmented
sperm_22,150,0,150,2.2302670532443063,0.7057855174966874,1552.6635999999999,Fragmented
sperm_23,150,0,150,-1.8296482527098608,0.929113572069892,143.13805555555558,Fragmented
sperm_24,150,0,150,1.16570947259713,0.8535295661319191,2973.1332888888887,Fragmented
sperm_25,150,10,140,-1.9246996703276622,0.7041298778420128,127988.44893333336,Fragmented
sperm_26,150,0,150,0.9332405001455593,0.7475850613059142,32.552933333333335,Fragmented
sperm_27,93,3,90,-325.2248965341527,0.792223807881654,9176.271303040814,Fragmented
sperm_28,150,78,72,0.8104114878131252,1.0196191714288712,17.892933333333335,Non-Fragmented
sperm_29,150,0,150,-2.6533209554183177,0.8696436183800107,1104.509288888889,Fragmented
sperm_3,150,0,150,1.5598560053379575,0.8738278461081314,552.116988888889,Fragmented
sperm_30,150,87,63,1.339048125199585,0.953570323858613,539.4191222222222,Fragmented
sperm_31,150,0,150,-1.9705137933622652,0.9237894609294296,3265.349166666667,Fragmented
sperm_32,150,5,145,-3.0710585224191735,0.6682616172200433,436.1462333333334,Fragmented
sperm_33,118,2,116,-128.5795918092767,0.7102270727995615,2923.956495978167,Fragmented
sperm_34,121,12,109,-313.161724419183,0.8125425936672944,3283.0763609043097,Fragmented
sperm_35,111,20,91,-58.53846182163237,0.9425510431180587,10527.299001704407,Fragmented
sperm_36,80,7,73,-262.1096579645242,0.8279883384307221,7882.8140234375,Fragmented
sperm_37,150,0,150,-0.7374500616972046,0.8395545360948109,448.9577888888889,Fragmented
sperm_38,71,2,69,-400.6689599874828,0.8301256792549628,8632.964292799048,Fragmented
sperm_39,150,0,150,-2.82239738867243,0.6198907776651298,668.1399555555555,Fragmented
sperm_4,150,0,150,1.3857899880280096,1.0255246431230411,83.11626666666666,Fragmented
sperm_40,150,0,150,-0.9992973940690888,0.674004873725369,525.9272888888888,Fragmented
sperm_41,150,0,150,0.04862493762335607,0.9004410750098707,3285.0400999999997,Fragmented
sperm_42,86,6,80,-215.0530528456991,0.7955729102297949,14025.321018117897,Fragmented
sperm_43,147,2,145,-3.0516549112236557,0.8368208783027965,317.48979591836735,Fragmented
sperm_44,150,0,150,0.4898903509911099,0.8198467688395,114.14805555555557,Fragmented
sperm_45,82,0,82,-211.145190102593,0.7342081911743715,9126.812351279,Fragmented
sperm_46,150,20,130,-0.8651421769745742,0.8202801134335976,397.8322222222222,Fragmented
sperm_47,53,2,51,-134.93365398752815,0.7057705112080773,15618.024741901034,Fragmented
sperm_48,150,0,150,0.02726264716047666,0.7616380917376544,895.8444888888889,Fragmented
sperm_49,97,10,87,-136.00876409373063,0.8160772761190401,11239.659793814433,Fragmented
sperm_5,150,0,150,-2.77436706944008,0.7359657359513362,428.29978888888894,Fragmented
sperm_50,150,0,150,-4.342206601328982,1.055137084391516,22.400488888888887,Fragmented
sperm_51,117,4,113,-256.99258968220204,0.7709127847201754,10337.631821170284,Fragmented
sperm_52,149,2,147,-2.1678634413484303,0.9484337560550301,1619.2351470654476,Fragmented
sperm_53,150,0,150,1.1419871703024258,0.828939595397336,298.2055555555555,Fragmented
sperm_54,82,11,71,-301.20328171122213,0.8220554541598101,7873.952149018441,Fragmented
sperm_55,55,5,50,-13.06712586291735,0.7291089821122799,11420.649917355375,Fragmented
sperm_56,43,2,41,-69.3341691007314,0.6701184663725192,16436.802595997837,Fragmented
sperm_57,45,4,41,-62.939601250748865,0.7752851011710189,1518095.4654320988,Fragmented
sperm_58,38,1,37,-98.78679824515996,0.7424364263945654,10931.927458448758,Fragmented
sperm_59,56,1,55,-44.421758958656255,0.7800313791041597,10658.655612244898,Fragmented
sperm_6,80,3,77,-225.32080795704354,0.7318946931562551,10158.821875,Fragmented
sperm_60,43,2,41,-42.41124603347794,0.8456873372594198,76018.70713899404,Fragmented
sperm_61,67,1,66,-217.2689783240312,0.801638982274342,10719.643573178884,Fragmented
sperm_62,54,1,53,-156.4902637498019,0.7800411577306643,25091.866941015087,Fragmented
sperm_63,125,3,122,-270.6470478827034,0.8299042856026394,7823.097183999999,Fragmented
sperm_64,50,0,50,-232.1847653743156,0.7536252996836765,11315.7381,Fragmented
sperm_65,116,0,116,-289.07157801152886,0.7736939669565602,1824.7287455410228,Fragmented
sperm_66,28,3,25,-74.94079762246702,0.6942788673738244,16386.972895408162,Fragmented
sperm_67,46,4,42,-194.44650228780006,0.7209883249699814,27346.333293950855,Fragmented
sperm_68,62,2,60,-16.039882810403128,0.7628183978805702,29292.923777315293,Fragmented
sperm_69,76,1,75,-285.5975741609027,0.7742532225287094,14774.904215720226,Fragmented
sperm_7,150,0,150,0.6236333015081419,0.856551986111923,543.7691666666667,Fragmented
sperm_70,132,1,131,-69.60706635837626,0.8864612000484975,6679.579028925621,Fragmented
sperm_71,86,4,82,-314.47522063465897,0.8437009967017245,14678.177393185508,Fragmented
sperm_72,58,2,56,-227.32295317136646,0.8437289580211099,8101.473840665874,Fragmented
sperm_73,79,19,60,-244.26910675888928,0.8409623852998237,15650.986620733856,Fragmented
sperm_74,66,0,66,-162.62478892674517,0.7402043535343176,2635.5906795224973,Fragmented
sperm_75,67,3,64,-173.18723584385413,0.7996487476026709,15626.972042771218,Fragmented
sperm_76,44,1,43,-3.6917484312581337,0.7497411430535914,15690.043904958678,Fragmented
sperm_77,58,6,52,-213.4710605129983,0.8658495071780017,26304.41379310345,Fragmented
sperm_78,66,8,58,-184.83603463086035,0.7342531963157332,11245.90197428834,Fragmented
sperm_79,94,7,87,-314.98845482979465,0.7865163055594526,5344.768560434586,Fragmented
sperm_8,150,0,150,1.1662815399487592,1.1088100526292572,162.2943222222222,Fragmented
sperm_80,73,6,67,-212.35340517889534,0.7743405937112865,10550.919497091385,Fragmented
sperm_81,108,5,103,-71.07450256465685,0.74846095332187,5352.047560871056,Fragmented
sperm_82,47,0,47,-310.9701183197473,0.7732801806752706,79738.98619284746,Fragmented
sperm_83,132,17,115,-160.0894417668477,0.8091377688687027,15242.87446912305,Fragmented
sperm_84,64,9,55,-181.2396696599046,0.8206403667745344,10991.915771484375,Fragmented
sperm_85,46,0,46,-92.83205713906665,0.8192815886120064,16193.72448015123,Fragmented
sperm_86,134,14,120,-231.92821487874681,0.8954294883299058,7687.900437179772,Fragmented
sperm_87,98,3,95,-242.3297803742753,0.8947151994588305,7748.969830279052,Fragmented
sperm_88,90,1,89,-270.36039597719576,0.7677077666451106,6363.538395061728,Fragmented
sperm_89,61,4,57,-209.0357181920367,0.7709216873094862,8231.5255307713,Fragmented
sperm_9,150,0,150,-3.2394119628889477,0.9064447876863366,96.31862222222222,Fragmented
sperm_90,71,3,68,-167.60161288340987,0.8669913561957684,15137.353501289426,Fragmented
sperm_91,53,8,45,-205.91790851912452,0.8640669313741342,11077.29156283375,Fragmented
sperm_92,84,2,82,-303.78761954171955,0.8440111478257032,4612.33701814059,Fragmented
sperm_93,91,7,84,-281.5780884811655,0.7751510734754561,12808.848629392589,Fragmented
sperm_94,67,1,66,-135.95646339224692,0.8017816987979631,10118.404878592111,Fragmented
sperm_95,69,0,69,-266.29857771628957,0.7351506754448867,6946.962927956311,Fragmented
sperm_96,65,9,56,-120.53750508912475,0.7550686433656274,20337.23928994083,Fragmented
sperm_97,42,2,40,6.61778740009197,0.7596466758512112,19231.085034013606,Fragmented
sperm_98,43,1,42,-170.29506386415102,0.8671989593676961,22415.210383991347,Fragmented
sperm_99,70,1,69,-249.65893427883668,0.9569429853906201,14663.920867346938,Fragmented
